,clinics,Google review page,facebook review page,twitter page,positive review,google rating,t followers,t tweets,t likes,f likes,f followers,f recommendations
1,Dr. Janet Alexander Castelino - DermaZeal Clinic,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNRxv1I91Jzz6gKzZoJ2x6KRi_t4cQ%3A1576834167588&ei=d5T8XdqqI-fB3LUP5eCowAU&q=Dr.+Janet+Alexander+Castelino+-+DermaZeal+Clinic&oq=Dr.+Janet+Alexander+Castelino+-+DermaZeal+Clinic&gs_l=psy-ab.3..0j0i22i30k1j0i333k1.8055.8055.0.8777.1.1.0.0.0.0.244.244.2-1.1.0..1..0...1c.1.64.psy-ab..0.1.244....0._Td9ry9cty4#lrd=0x3bae148226ae7aaf:0x3e034963053d8fe3,1,,,&rlfi=hd:;si:4468495944920174563;mv:[[12.91833497731903,77.65192515075482],[12.91797502268097,77.6515558492452]]",https://www.facebook.com/pg/Dermazealclinic/reviews/?ref=page_internal,null,123,4.4,0,0,0,513,528,9
2,ASHU SKIN CARE,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x3a1909bc13d212af:0x104ae72c326325c5,1,,,&rlfi=hd:;si:1174004829893371333,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEZgRzNkCL8d6siA6gBAUjlpsaNgK-AgAhaNQoSYmVzdCBkZXJtYXRvbG9naXN0EAAQASIbYmVzdCBkZXJtYXRvbG9naXN0IGluIGluZGlhYgsJZRvJe1SlOUkQAmILCXbOq4kvcqoMEAFiCwm71Qu_fe5geBACYgsJDDgpV4xeZnUQAWILCZ9s8XGLsrwNEAJiCwk9zyGlrBdWDhACYgsJxjB0Pn-VDVwQAmILCen7CLrWnRN0EAJiCwlvRexh-k3TWRABYgsJNNSQdRQWwQ4QAg;mv:[[31.058183417990957,89.87039230000005],[2.6858076360830196,67.01882980000005],null,[17.41939292039703,78.44461105000005],5];start:60",https://www.facebook.com/pg/ashuskincare/reviews/?ref=page_internal,https://twitter.com/ashuskincare,144,4.8,34,38,2,1221,1217,42
3,Oliva Clinic,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x3bcb93fa6ec850cf:0xf68e5f83c36fc94,1,,,&rlfi=hd:;si:1110390162471713940,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEZT9dGnwdejoIiA6gBAUiC75yflauAgAhaNwoSYmVzdCBkZXJtYXRvbG9naXN0EAAQARgBIhtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWFiCwnjSIreduuYEhACYgsJzWr3Yk_au0AQAg;mv:[[25.030364915054925,84.15750167500005],[9.808420925739137,72.73172042500003]];start:60",https://www.facebook.com/pg/olivaclinic/reviews/?ref=page_internal,https://twitter.com/olivaclinic?lang=en,125,4.6,639,5281,446,205363,205427,175
4,Cosmoderma,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x3bcb9192bf0de7d3:0xf9374a7841dd8661,1,,,&rlfi=hd:;si:17957903919524709985,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEiA6gBAUiFmIWCiquAgAhaNQoSYmVzdCBkZXJtYXRvbG9naXN0EAAQASIbYmVzdCBkZXJtYXRvbG9naXN0IGluIGluZGlh;mv:[[25.030364915054925,84.15750167500005],[9.808420925739137,72.73172042500003]];start:60",https://www.facebook.com/pg/cosmodermaonline/reviews/?ref=page_internal,https://twitter.com/cosmo_derma?lang=en,148,4.9,18,79,45,1996,2054,10
5,Dr. Keshav's Skin Hair Laser & Cosmetic Clinic,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNQ1IVQM86gEIDrFfs4GOd4Y9adZmw%3A1576832547642&ei=I478XbfgJqKzmAWxvKLQBg&q=dr+keshav+skin+care&oq=dr+keshav+ski&gs_l=psy-ab.3.2.0l3j0i22i30k1.1464686.1472705.0.1474786.16.16.0.0.0.0.368.2298.0j2j6j1.9.0....0...1c.1.64.psy-ab..9.7.1901...35i39k1j0i273k1j0i67k1j0i131k1.0.11KxFQhgxUw#lrd=0x3bae3d5e14fb2fd1:0x7ed86a105e0fe710,1,,,&rlfi=hd:;si:9140172062278543120;mv:[[13.034361077319028,77.55801203693845],[13.03400112268097,77.55764256306155]]",null,https://twitter.com/DrKeshav_m,136,4.7,2620,4,1,0,0,0
6,Clear Skin,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x3bc2c057fff8fe1b:0x3c50b20f03ed0aba,1,,,&rlfi=hd:;si:4346169417972648634,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEiA6gBAUie0frynKqAgAhaNwoSYmVzdCBkZXJtYXRvbG9naXN0EAAQARgBIhtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWE;mv:[[31.058183417990957,89.87039230000005],[2.6858076360830196,67.01882980000005],null,[17.41939292039703,78.44461105000005],5];start:160",https://www.facebook.com/pg/theclearskinclinic/reviews/?ref=page_internal,https://twitter.com/ClearSkinIndia,143,4.6,32,509,5,1166,1197,58
7,Dr Anita Rath,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x3a19097e1de08b77:0xc300d0e4a72a7748,1,,,&rlfi=hd:;si:14051460517871646536,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEiA6gBAUjfi7uOga2AgAhaNwoSYmVzdCBkZXJtYXRvbG9naXN0EAAQARgBIhtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWFiCwlD3jxZyMh-cBABYgsJk0qiu_jFRikQAmILCXn6iBnS8ec7EAJiCwl5-ogZ0vHnOxACYgsJEUaKlhgEHCQQAWILCXD-BpHV36NOEAFiCwm7nyEiKzWZSRACYgsJY3aholmiCDoQAWILCV7nxjNPFAJkEAJiCwk3FArcOiqCbxAC;mv:[[31.058183417990957,89.87039230000005],[2.6858076360830196,67.01882980000005],null,[17.41939292039703,78.44461105000005],5];start:40",https://en-gb.facebook.com/pg/dranitarath/reviews/?ref=page_internal,https://twitter.com/ashuskincare,137,4.8,34,38,2,1673,1675,20
8,DR SURUCHI PURI,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x390d04b0f63364fd:0x611d2d14cfc5768b,1,,,&rlfi=hd:;si:6997798963412039307,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEiA6gBAUie6rGavoKAgAhaOQoSYmVzdCBkZXJtYXRvbG9naXN0EAAQARgAGAEiG2Jlc3QgZGVybWF0b2xvZ2lzdCBpbiBpbmRpYQ;mv:[[31.058183417990957,89.87039230000005],[2.6858076360830196,67.01882980000005],null,[17.41939292039703,78.44461105000005],5];start:80",https://www.facebook.com/pg/drsuruchipurismakeovers/reviews/?ref=page_internal,https://twitter.com/drsuruchipuri,143,4.9,7,46,4,8703,8717,5
9,Dr venus,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x3bcb92895dc3cf6b:0x296c1886e753d824,1,,,&rlfi=hd:;si:2984787620725512228,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEiA6gBAUj92P6t1JWAgAhaOwoSYmVzdCBkZXJtYXRvbG9naXN0EAAQARgAGAEYAiIbYmVzdCBkZXJtYXRvbG9naXN0IGluIGluZGlh;mv:[[31.058183417990957,89.87039230000005],[2.6858076360830196,67.01882980000005],null,[17.41939292039703,78.44461105000005],5];start:80",https://www.facebook.com/pg/Doctor.Venukumari/reviews/?ref=page_internal,https://twitter.com/DrVenus4U,130,4.3,36,398,11,34266,35266,16
10,PARISA Skin,"https://www.google.com/search?client=ubuntu&channel=fs&biw=940&bih=873&tbm=lcl&sxsrf=ACYBGNT3YJKOFd5rVdmwjLqGq4IUEzBhJA%3A1576832485595&ei=5Y38XeXzI6a1mAWWkq2ACw&q=best+dermatologist+in+india&oq=best+dermatologist+in+india&gs_l=psy-ab.3..0l7.39838.60250.0.60588.17.15.0.2.2.0.348.2655.0j1j8j1.10.0....0...1c.1.64.psy-ab..5.12.2657...35i39k1j0i67k1j0i131k1j0i273k1j0i20i263k1.0.DtNZRx5rTsM#lrd=0x390fed9b3fffffff:0xd034ac714398a884,1,,,&rlfi=hd:;si:15002805861143324804,l,ChtiZXN0IGRlcm1hdG9sb2dpc3QgaW4gaW5kaWEZwlR_On5a-o4iA6gBAUi-oq3r64CAgAhaOQoSYmVzdCBkZXJtYXRvbG9naXN0EAAQARgBGAIiG2Jlc3QgZGVybWF0b2xvZ2lzdCBpbiBpbmRpYQ;mv:[[31.058183417990957,89.87039230000005],[2.6858076360830196,67.01882980000005],null,[17.41939292039703,78.44461105000005],5];start:120",https://www.facebook.com/ParisaSkinCosmeticLaserCentre,https://twitter.com/PARISAskinLASER,136,4.8,37,1604,1,20133,20231,0
